Fecha;Moneda;Saldo;TC Oficial;Saldo (BOB);Cod Agencia;Agencia;;
2023-11-03;BOB;34153,50;1;34153,50;101;AGENCIA SUCRE CENTRAL;;
2023-11-03;CLP;0,00;0,00767;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-03;BRL;0,00;1,37447;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-03;EUR;0,00;7,22493;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-03;ARS;0,00;0,0196;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-03;PEN;0,00;1,78711;0,00;101;AGENCIA SUCRE CENTRAL;;
2023-11-03;USD;106973,00;6,86;733834,78;202;AGENCIA COLON;;
2023-11-03;BOB;104568,50;1;104568,50;202;AGENCIA COLON;;
2023-11-03;CLP;4270000,00;0,00767;32750,90;202;AGENCIA COLON;;
2023-11-03;BRL;10505,00;1,37447;14438,81;202;AGENCIA COLON;;
2023-11-03;EUR;3875,00;7,22493;27996,60;202;AGENCIA COLON;;
2023-11-03;ARS;0,00;0,0196;0,00;202;AGENCIA COLON;;
2023-11-03;AUD;0,00;4,36912;0,00;202;AGENCIA COLON;;
2023-11-03;CAD;0,00;4,93916;0,00;202;AGENCIA COLON;;
2023-11-03;PEN;5620,00;1,78711;10043,56;202;AGENCIA COLON;;
2023-11-03;GBP;0,00;8,31223;0,00;202;AGENCIA COLON;;
2023-11-03;CHF;0,00;7,53763;0,00;202;AGENCIA COLON;;
2023-11-03;NZD;0,00;4,32044;0,00;202;AGENCIA COLON;;
2023-11-03;PYG;0,00;0,00092;0,00;202;AGENCIA COLON;;
2023-11-03;USD;4036,00;6,86;27686,96;210;AGENCIA 6 DE MARZO;;
2023-11-03;BOB;105997,30;1;105997,30;210;AGENCIA 6 DE MARZO;;
2023-11-03;CLP;15000,00;0,00767;115,05;210;AGENCIA 6 DE MARZO;;
2023-11-03;BRL;0,00;1,37447;0,00;210;AGENCIA 6 DE MARZO;;
2023-11-03;EUR;50,00;7,22493;361,25;210;AGENCIA 6 DE MARZO;;
2023-11-03;ARS;0,00;0,0196;0,00;210;AGENCIA 6 DE MARZO;;
2023-11-03;PEN;0,00;1,78711;0,00;210;AGENCIA 6 DE MARZO;;
2023-11-03;GBP;0,00;8,31223;0,00;210;AGENCIA 6 DE MARZO;;
2023-11-03;USD;1350,00;6,86;9261,00;301;AGENCIA COCHABAMBA CENTRAL;;
2023-11-03;BOB;180675,80;1;180675,80;301;AGENCIA COCHABAMBA CENTRAL;;
2023-11-03;CLP;819000,00;0,00767;6281,73;301;AGENCIA COCHABAMBA CENTRAL;;
2023-11-03;BRL;1185,00;1,37447;1628,75;301;AGENCIA COCHABAMBA CENTRAL;;
2023-11-03;EUR;270,00;7,22493;1950,73;301;AGENCIA COCHABAMBA CENTRAL;;
2023-11-03;ARS;0,00;0,0196;0,00;301;AGENCIA COCHABAMBA CENTRAL;;
2023-11-03;PEN;230,00;1,78711;411,04;301;AGENCIA COCHABAMBA CENTRAL;;
2023-11-03;USD;5720,00;6,86;39239,20;401;AGENCIA ORURO CENTRAL;;
